DungeonId,MonsterId,Category,FromWave,ToWave,ItemId,Weight,MinQty,MaxQty
Dungeon_Wolf_Ravine,Wolf_Alpha,Boss,16,16,Item_Mana_Stone,4500,2,3

Dungeon_Wolf_Ravine,Wolf_Alpha,Boss,16,16,Item_Enhance_Scroll_Mid,3500,1,2

Dungeon_Wolf_Ravine,Wolf_Alpha,Boss,16,16,Item_Recovery_Potion,2000,1,2

Dungeon_Crypt_Of_Dead,Skeleton,Monster,1,17,Item_Mana_Stone,4000,1,2

Dungeon_Crypt_Of_Dead,Skeleton,Monster,1,17,Item_Enhance_Scroll_Mid,2500,1,1

Dungeon_Crypt_Of_Dead,Skeleton,Monster,1,17,Item_Enhance_Scroll_Low,1500,1,1

Dungeon_Crypt_Of_Dead,Skeleton,Monster,1,17,Item_Recovery_Potion,1500,1,1

Dungeon_Crypt_Of_Dead,Skeleton,Monster,1,17,Item_Lesser_Recovery_Potion,500,1,1

Dungeon_Crypt_Of_Dead,Skeleton_Lord,Boss,18,18,Item_Mana_Stone,4000,2,3

Dungeon_Crypt_Of_Dead,Skeleton_Lord,Boss,18,18,Item_Enhance_Scroll_Mid,4000,1,2

Dungeon_Crypt_Of_Dead,Skeleton_Lord,Boss,18,18,Item_Recovery_Potion,2000,1,2

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Mana_Stone,3500,1,2

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Enhance_Scroll_Mid,3000,1,1

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Greater_Mana_Stone,1200,1,1

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Enhance_Scroll_High,800,1,1

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Recovery_Potion,1200,1,1

Dungeon_Scorch_Rift,Fire_Salamander,Monster,1,19,Item_Greater_Recovery_Flask,300,1,1

Dungeon_Scorch_Rift,Flame_Tyrant,Boss,20,20,Item_Greater_Mana_Stone,4000,1,2

Dungeon_Scorch_Rift,Flame_Tyrant,Boss,20,20,Item_Enhance_Scroll_High,4500,1,2

Dungeon_Scorch_Rift,Flame_Tyrant,Boss,20,20,Item_Greater_Recovery_Flask,1500,1,2

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Mana_Stone,3000,1,2

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Greater_Mana_Stone,1800,1,1

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Enhance_Scroll_Mid,2500,1,1

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Enhance_Scroll_High,1200,1,1

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Recovery_Potion,1000,1,1

Dungeon_Frost_Citadel,Ice_Wisp,Monster,1,21,Item_Greater_Recovery_Flask,500,1,1

Dungeon_Frost_Citadel,Frost_Titan,Boss,22,22,Item_Greater_Mana_Stone,5000,2,3

Dungeon_Frost_Citadel,Frost_Titan,Boss,22,22,Item_Enhance_Scroll_High,4000,1,2

Dungeon_Frost_Citadel,Frost_Titan,Boss,22,22,Item_Greater_Recovery_Flask,1000,1,2

Dungeon_Dragon_Roost,Dragon_Whelp,Monster,1,23,Item_Greater_Mana_Stone,3500,1,2

Dungeon_Dragon_Roost,Dragon_Whelp,Monster,1,23,Item_Enhance_Scroll_High,3000,1,1

Dungeon_Dragon_Roost,Dragon_Whelp,Monster,1,23,Item_Enhance_Scroll_Mid,2000,1,1

Dungeon_Dragon_Roost,Dragon_Whelp,Monster,1,23,Item_Greater_Recovery_Flask,800,1,1

Dungeon_Dragon_Roost,Dragon_Whelp,Monster,1,23,Item_Recovery_Potion,700,1,1

Dungeon_Dragon_Roost,Elder_Dragon,Boss,24,24,Item_Greater_Mana_Stone,4500,2,4

Dungeon_Dragon_Roost,Elder_Dragon,Boss,24,24,Item_Enhance_Scroll_High,4500,2,3

Dungeon_Dragon_Roost,Elder_Dragon,Boss,24,24,Item_Greater_Recovery_Flask,1000,2,3

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Greater_Mana_Stone,3000,1,2

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Enhance_Scroll_High,2500,1,1

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Enhance_Scroll_Mid,1500,1,1

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Raid_Shard,1200,1,1

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Greater_Recovery_Flask,1000,1,1

Dungeon_Void_Rift,Void_Spawn,Monster,1,25,Item_Recovery_Potion,800,1,1

Dungeon_Void_Rift,Void_Harbinger,Boss,26,26,Item_Greater_Mana_Stone,3000,2,4

Dungeon_Void_Rift,Void_Harbinger,Boss,26,26,Item_Raid_Shard,3000,1,2

Dungeon_Void_Rift,Void_Harbinger,Boss,26,26,Item_Enhance_Scroll_High,2500,2,3

Dungeon_Void_Rift,Void_Harbinger,Boss,26,26,Item_Greater_Recovery_Flask,1500,2,3

